Students	341
0032258	005119 
0032765	002469 
0145931	001444 005724 
0419327	001248 003001 003003 005727 
0556027	001749 003275 007375 
0559777	008500 
0603589	003556 
0634162	002951 004065 006023 
0634284	001162 007076 007127 
0656863	002935 003433 005248 007053 007127 
0657857	008496 008500 008779 
0661924	001893 007006 
0670870	003556 
0671451	003556 
0671926	001767 007124 007127 007364 008765 
0672478	005206 005286 
0677533	002562 007068 007127 
0680495	001162 005227 007043 
0699614	001852 006023 
0701809	001836 002160 006846 
0707575	004051 
0709543	001573 004888 
0709554	004011 007125 
0710449	007372 007374 007381 
0711336	001162 002637 006023 007364 
0711460	001852 002160 006846 
0734613	002637 003026 006502 
0738079	002464 002472 007125 
0739031	007124 007125 007127 008821 
0741435	007398 
0741632	001766 004888 005727 007364 
0741707	002571 
0742063	004885 004888 005258 
0742089	002173 002182 002935 
0742461	003034 003465 003562 
0742549	002992 003275 003277 
0742734	001767 003433 003525 
0742886	007375 007398 
0744133	001752 002464 004815 
0744202	001547 001560 001561 001562 007915 
0744449	002394 005258 006059 
0744475	004014 006042 006044 
0745699	007915 008485 008488 
0745780	003026 
0746084	003441 003556 003562 004017 
0746203	004304 
0746210	003026 004011 
0746537	001766 
0746907	004274 007007 
0747147	006026 
0747562	001864 002472 008767 
0748627	007125 007127 008479 008779 
0748713	003026 006036 006054 008765 
0748765	001178 001185 001838 
0751242	007043 007125 007127 
0751495	002562 007008 
0751788	003433 003441 
0751823	002472 
0752318	001838 005248 
0752553	001193 005724 
0754161	006029 006860 
0754424	005734 007377 007395 
0755048	003034 006059 008763 
0755872	004374 004853 004885 007034 
0756275	003442 003518 003525 
0756732	001573 
0756739	003433 006848 
0768049	005740 005741 007381 
0768235	001237 001248 004280 
0768507	001767 003465 003505 
0768585	001151 001890 001897 003454 
0769020	002637 002951 
0769557	006029 008821 
0769686	007125 007127 
0769851	007076 007364 
0769943	001213 001248 003433 
0770198	003465 003562 006023 
0770471	001213 001248 001845 005734 
0770814	005286 
0771075	001838 007395 
0771438	001213 001248 001763 003556 006023 
0771732	003026 004835 006029 
0771752	001551 
0771876	006059 
0771900	006044 006059 
0772005	002562 006865 007372 
0772032	003275 007375 008500 008779 
0772218	004888 006023 
0772305	001560 008492 008821 
0772504	001151 001193 003556 003562 
0772735	001573 004051 007372 007393 
0772927	001576 001836 004808 
0773014	001843 002669 004013 
0773175	002151 002992 
0773276	005845 007043 
0773385	001856 
0773573	003027 
0773692	002182 006029 
0773772	001893 004808 
0774062	007372 007374 007381 
0775490	006026 
0776956	008441 008500 
0777510	007068 
0778307	004857 004888 005741 006042 
0779081	001424 002856 004274 008765 
0779276	001838 004011 
0779365	004888 
0779966	007393 007395 008441 
0780191	002872 004735 005847 
0780450	001836 006042 007381 007398 
0780485	001189 001843 003525 
0780528	001444 001862 001893 006029 
0780619	001248 007915 
0780735	002472 
0781139	003433 006044 007395 
0781147	005123 
0781191	003026 008796 008821 
0781424	001752 001838 
0781472	001573 002162 002164 
0781523	005741 006042 006059 
0781527	001193 007125 007127 
0781976	002571 004013 006023 
0782876	004830 005159 005227 
0782929	008492 
0783208	005248 007008 
0783456	004807 
0783959	003518 005123 
0784123	004359 004885 
0784558	002164 002173 008763 
0785336	001764 002635 
0785917	001162 007043 007127 
0785955	007372 007398 
0786093	008765 
0786698	003433 008439 008500 008796 
0786916	001852 002160 005258 006029 
0786993	006044 006054 006059 
0787159	001442 001766 007375 007377 008784 
0787430	006023 006539 007043 007127 
0787509	005258 008779 008821 
0787582	006863 
0788425	001766 003433 003562 
0788562	001213 001248 
0788849	004807 004857 006042 
0789284	001185 001836 004359 006023 
0789995	005286 005847 
0790880	001862 004065 005734 
0791975	007395 008439 
0794276	007915 
0794297	007902 008779 
0795445	001836 002992 004046 006042 
0798802	002173 005734 
0799016	001843 001845 002162 002164 
0799414	003277 004297 006863 
0801247	002935 002951 
0802029	002464 006036 006042 006044 
0802127	001547 001560 001562 003026 
0802256	007395 007398 
0802710	003027 005159 
0802766	003277 005206 006044 
0802807	002173 002182 006026 
0803579	008420 008479 
0803706	003027 003442 004017 008763 
0803723	001856 001890 001897 004282 
0804193	001862 001893 
0805926	003026 004065 
0806189	001766 003505 004282 006029 
0806269	002162 002164 
0806452	005741 006059 
0806520	002562 003433 
0806873	002173 002182 006518 
0806882	001151 001193 
0806886	001862 001893 003433 006846 
0807347	004807 005159 008763 
0807702	002571 006059 
0807750	003454 003465 004835 
0807767	007374 008765 
0807993	001843 003518 005221 008492 
0809033	002472 008496 
0809192	002412 006863 
0809224	001213 001248 001845 001897 
0809463	001213 001248 004815 008765 
0809839	002173 002182 004065 
0810196	001194 003465 003556 
0810794	001560 001561 002660 002709 
0810885	003441 003562 004830 004888 
0812298	002394 
0812300	002162 002164 003433 006042 
0812518	007902 007915 008439 008441 
0812628	001213 001237 001248 006023 
0812632	006044 006059 
0812824	002571 008773 
0813147	007375 
0813159	003026 003433 004065 
0813277	001189 001213 001248 003433 
0813366	004808 006036 006042 006054 
0814593	001847 002182 006026 
0814822	006023 007068 007124 007127 
0814828	001862 001893 003441 
0817768	003441 006036 006044 
0818349	001193 007124 007127 
0818384	001213 001237 001248 006023 
0818599	001193 001213 001248 
0818674	003027 004036 004355 005740 
0819118	001194 001196 001843 
0820055	001847 001862 005847 008496 
0822518	003442 007374 007377 007381 
0822717	004297 006863 006865 
0822753	002564 002992 006042 
0823997	003433 005159 005248 005282 007007 
0824299	001151 003433 006865 
0824872	007395 
0824983	007395 007398 
0825024	001468 002562 004355 
0825102	007393 007395 
0825478	001185 004278 004282 008500 
0825559	003433 003525 005734 
0825616	002412 003001 003441 008765 
0825646	001862 007393 
0825743	001559 002935 003433 003525 
0825935	002668 002671 
0825970	004808 
0825990	004888 005724 
0826099	004866 004888 006023 
0826363	003433 003445 004359 
0826565	001566 001568 002412 002472 006042 
0826670	003277 005282 007375 
0827099	003034 006042 
0827209	002992 006042 006059 
0827460	001189 003465 003562 
0827772	005141 005159 006026 007905 
0827786	001162 003433 003525 006023 
0827928	001213 001248 004065 
0827963	002160 002992 008767 
0828017	001836 003556 006846 
0828021	001551 002472 002935 003441 004888 
0828036	006044 006054 006502 006846 
0828065	001189 004879 004888 008492 
0828068	004857 004888 
0828394	006502 007374 007375 007398 
0828467	001189 007395 007398 
0828596	001248 001897 
0828604	006026 
0828705	002472 003003 003442 005123 
0829096	002367 002412 002464 
0829360	002394 002412 002464 
0829376	007372 007902 007915 
0829397	004885 004888 
0829788	004046 006038 006054 
0829796	001193 001248 
0829837	002182 002571 006865 
0829872	003433 007393 007395 008439 
0830141	001193 004046 007125 007127 
0830197	001193 001213 008496 
0830269	006059 007125 
0830276	003442 003518 006544 006585 
0830280	001551 001845 001847 006846 
0830700	001862 003433 004046 
0830791	007125 007127 
0830807	001847 001852 006846 
0830862	006038 006863 006865 
0830886	006846 007127 008779 
0830911	004051 006539 007127 
0831031	003026 007125 
0831413	003445 003556 008765 
0831435	001838 007006 007127 
0831531	001752 006042 006054 006059 
0831703	004065 
0831798	001162 003026 003034 006042 
0831800	004666 004866 007395 
0831966	001179 001213 001248 001897 006846 
0832137	002571 
0832171	002637 003026 007125 
0832248	002472 003275 008763 
0832455	004297 006863 
0832653	001838 003454 004009 
0832718	002935 006042 006044 
